trial,balance_strategy,params,auc_mean,auc_std,logloss_mean,logloss_std,f1_mean,f1_std,stage_score,rank_within_balance_strategy,model,error,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,metric_error
324,smote_classweights,"{'colsample_bytree': np.float64(0.6411876855168499), 'gamma': np.float64(0.539571626566239), 'learning_rate': np.float64(0.07832299515746706), 'max_depth': 6, 'min_child_weight': 1, 'reg_lambda': np.float64(0.002902209691312049), 'subsample': np.float64(0.7734482836280014), '__balance_strategy': 'smote_classweights'}",0.8493280888113176,0.0027518671994123554,0.44811043547428403,0.0037265008970607887,0.6868754872576477,0.00407277951443804,0.638469983690054,1,xgboost,,0.773688499930711,0.0037060525147043773,0.6421283689489053,0.005673569042613212,0.7383422732046284,0.002037685670314638,
325,smote_classweights,"{'colsample_bytree': np.float64(0.7815282996093482), 'gamma': np.float64(2.1845923437298262), 'learning_rate': np.float64(0.1388642091418914), 'max_depth': 5, 'min_child_weight': 7, 'reg_lambda': np.float64(15.384027221431806), 'subsample': np.float64(0.6614304810481888), '__balance_strategy': 'smote_classweights'}",0.8489828857697536,0.002905112200766996,0.4482024604220005,0.003980773710611337,0.6853644161524887,0.002487979563894238,0.637820954812976,2,xgboost,,0.7740759135292312,0.0029669839139205363,0.6444082850792773,0.005446850514113901,0.731933472453829,0.0032879661377670354,
309,adasyn,"{'depth': 7, 'l2_leaf_reg': np.float64(1.4089102255644474), 'learning_rate': np.float64(0.08118753042544696), 'random_strength': np.float64(1.6734037985266543), '__balance_strategy': 'adasyn'}",0.8502912668785102,0.0031520129319508056,0.446353005635529,0.004000664613370201,0.68548479604291,0.004720458948799795,0.6404292684012115,1,catboost,,0.7747089954072816,0.0037562720764204994,0.6458570150332297,0.005446955283144609,0.7303035375230466,0.004299777008708373,
307,adasyn,"{'depth': 7, 'l2_leaf_reg': np.float64(2.078221996033666), 'learning_rate': np.float64(0.15347693779851668), 'random_strength': np.float64(1.4210808295018795), '__balance_strategy': 'adasyn'}",0.8501868396836897,0.002902151392583223,0.4456565833712793,0.00360723287658503,0.6818455566202788,0.00372685695758052,0.6402868125896751,2,catboost,,0.7753042586768139,0.0026104140132759577,0.6506054635954469,0.0036864260009550967,0.7162493668045452,0.004786232669758143,
333,adasyn_classweights,"{'depth': 5, 'l2_leaf_reg': np.float64(12.28160820672969), 'learning_rate': np.float64(0.16081855797854583), 'random_strength': np.float64(0.3971224677856682), '__balance_strategy': 'adasyn_classweights'}",0.8503503678461447,0.002992811172417987,0.4467111272790205,0.003783828077085174,0.6865049545977365,0.003654232060174089,0.6404030048203283,1,catboost,,0.7745483606051057,0.0032759801673589565,0.644590586999504,0.00544075284458855,0.7342947475423768,0.004760347464634258,
337,adasyn_classweights,"{'depth': 5, 'l2_leaf_reg': np.float64(9.996416327665841), 'learning_rate': np.float64(0.18178530559437553), 'random_strength': np.float64(1.5431725564503753), '__balance_strategy': 'adasyn_classweights'}",0.8502950024945521,0.0028637201932932427,0.4464794293282923,0.0036016634769615997,0.68494607474182,0.0039871468130645085,0.6402860938968167,2,catboost,,0.7741042571288416,0.0029417934364573263,0.6447820311117911,0.0043928492950172935,0.7305004052545719,0.005978960012538798,
33,base,"{'depth': 6, 'l2_leaf_reg': 7.533217761585923, 'learning_rate': 0.0729869646899148, 'random_strength': 0.1379201243729711, '__balance_strategy': 'base'}",0.8517954470282186,0.002828750237125247,0.4427417368278805,0.003812047928330875,0.6732700546781191,0.0033211166607024518,0.6426490609799973,1,catboost,,0.7771940587658149,0.0028905113475436914,0.6638231121853703,0.00539554073828701,0.6833347838877722,0.0028012046438288226,
39,base,"{'depth': 6, 'l2_leaf_reg': 8.184654521840187, 'learning_rate': 0.09501644902056357, 'random_strength': 0.07272221221740943, '__balance_strategy': 'base'}",0.8517521347470375,0.002877178289630036,0.4426062828452622,0.00381481840133422,0.6729182609092647,0.004055370126346081,0.6426453206092354,2,catboost,,0.7771468181831537,0.0031587969255051046,0.6644642337104725,0.005317424839898022,0.6810018846778884,0.004771370432425553,
321,classweights,"{'depth': 10, 'l2_leaf_reg': np.float64(12.131662528106617), 'learning_rate': np.float64(0.059190003339518564), 'random_strength': np.float64(0.22183608067809546), '__balance_strategy': 'classweights'}",0.8515741974004903,0.002860926686969129,0.47400702839843206,0.0046374827630270765,0.7019475745978211,0.004259336618245102,0.624825617721652,1,catboost,,0.7565481493531742,0.004723036720699648,0.5966144019970178,0.005668218057489739,0.8518987994623658,0.004190834313801033,
320,classweights,"{'depth': 7, 'l2_leaf_reg': np.float64(3.507890165485267), 'learning_rate': np.float64(0.05746548104965386), 'random_strength': np.float64(0.12938854413485457), '__balance_strategy': 'classweights'}",0.8520809301227895,0.0029622832787054355,0.4754003672042821,0.004768440979937488,0.7017042615693206,0.0041117399265432055,0.624312829331656,2,catboost,,0.7554048248260332,0.004139071089422641,0.5945444158194307,0.004762315965237632,0.8566772007257324,0.003093333571079915,
236,smote,"{'depth': 8, 'l2_leaf_reg': 4.349620319305091, 'learning_rate': 0.13867811186485277, 'random_strength': 0.0065127633823215125, '__balance_strategy': 'smote'}",0.8508191283520917,0.0027808759138580274,0.44482978896406106,0.003726732489449358,0.6822267286225266,0.0043130522586266335,0.641558706925146,1,catboost,,0.7753326017407193,0.0028205654201848003,0.6503223622986115,0.0035543038729912396,0.7174301275985426,0.005611588198316356,
246,smote,"{'depth': 7, 'l2_leaf_reg': 3.5091160061848914, 'learning_rate': 0.1422133303020853, 'random_strength': 0.008411297330475744, '__balance_strategy': 'smote'}",0.8506091242201009,0.0027353797636916104,0.44496611856697976,0.0037471487343928144,0.683254006513467,0.0037957263456374147,0.6414092302373628,2,catboost,,0.7761735750747475,0.0031451063053464057,0.6516455836858855,0.004978772242360094,0.7181045406051428,0.0037635733419307633,
322,smote_classweights,"{'depth': 6, 'l2_leaf_reg': np.float64(1.5380697969094144), 'learning_rate': np.float64(0.21168717228932402), 'random_strength': np.float64(0.41479830904149373), '__balance_strategy': 'smote_classweights'}",0.8507327061398796,0.003106246150311419,0.4445392402390958,0.004092081794544447,0.6799829537152068,0.004276842059877217,0.6413155270863871,1,catboost,,0.7749735429916077,0.0032877433260993364,0.6514354679352955,0.004985659149746944,0.7111620448494368,0.004481067792184825,
