rank,experiment,rank,sampling,model,calibration,accuracy,recall,precision,f1,auc,logloss,ece,combined
106,A · KNN / RF,27,smotecw,randomforest,venn_abers,0.8465,0.0685,0.466,0.1195,0.8341,0.3198,0.006,0.6473
107,A · KNN / RF,28,smotencw,randomforest,venn_abers,0.8465,0.0685,0.466,0.1195,0.8341,0.3198,0.006,0.6473
108,A · KNN / RF,29,base,knn,venn_abers,0.8466,0.0896,0.4769,0.1509,0.8191,0.3358,0.0137,0.646675
109,A · KNN / RF,30,cw,knn,venn_abers,0.8466,0.0896,0.4769,0.1509,0.8191,0.3358,0.0137,0.646675
110,C · LogReg / CatBoost,56,smote,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575
111,C · LogReg / CatBoost,57,smotenc,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575
112,C · LogReg / CatBoost,58,smotecw,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575
113,C · LogReg / CatBoost,59,smotencw,lightgbm,isotonic,0.8469,0.0583,0.4727,0.1038,0.8375,0.318,0.0042,0.64575
114,C · LogReg / CatBoost,60,smote,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675
115,C · LogReg / CatBoost,61,smotenc,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675
116,C · LogReg / CatBoost,62,smotecw,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675
117,C · LogReg / CatBoost,63,smotencw,lightgbm,venn_abers,0.8469,0.0587,0.4712,0.1044,0.8375,0.318,0.0049,0.645675
118,D · Naïve Bayes,1,base,naive_bayes,base,0.7463,0.73,0.3429,0.4666,0.8075,0.7084,0.1859,0.6455
119,D · Naïve Bayes,2,cw,naive_bayes,base,0.7463,0.73,0.3429,0.4666,0.8075,0.7084,0.1859,0.6455
120,B · XGBoost / AdaBoost,25,smote,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645
121,B · XGBoost / AdaBoost,26,smotenc,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645
122,B · XGBoost / AdaBoost,27,smotecw,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645
123,B · XGBoost / AdaBoost,28,smotencw,adaboost,platt,0.8449,0.0827,0.4455,0.1394,0.8306,0.329,0.0186,0.645
124,A · KNN / RF,31,smote,randomforest,venn_abers,0.8471,0.0518,0.4741,0.0934,0.8341,0.3198,0.0064,0.643175
125,A · KNN / RF,32,smotenc,randomforest,venn_abers,0.8471,0.0518,0.4741,0.0934,0.8341,0.3198,0.0064,0.643175
126,A · KNN / RF,33,smote,randomforest,isotonic,0.8471,0.0511,0.4747,0.0923,0.834,0.3197,0.0061,0.6431
127,A · KNN / RF,34,smotenc,randomforest,isotonic,0.8471,0.0511,0.4747,0.0923,0.834,0.3197,0.0061,0.6431
128,C · LogReg / CatBoost,64,smote,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675
129,C · LogReg / CatBoost,65,smotenc,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675
130,C · LogReg / CatBoost,66,smotecw,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675
131,C · LogReg / CatBoost,67,smotencw,catboost,isotonic,0.848,0.0476,0.5011,0.087,0.8372,0.3189,0.006,0.642675
132,C · LogReg / CatBoost,68,smote,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001
133,C · LogReg / CatBoost,69,smotenc,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001
134,C · LogReg / CatBoost,70,smotecw,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001
135,C · LogReg / CatBoost,71,smotencw,catboost,venn_abers,0.848,0.0479,0.5011,0.0874,0.8373,0.319,0.0065,0.6426000000000001
136,A · KNN / RF,35,smote,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999
137,A · KNN / RF,36,smotenc,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999
138,A · KNN / RF,37,smotecw,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999
139,A · KNN / RF,38,smotencw,knn,platt,0.8433,0.0757,0.4153,0.1281,0.8203,0.3347,0.0175,0.6416999999999999
140,D · Naïve Bayes,3,smote,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925
141,D · Naïve Bayes,4,smotenc,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925
142,D · Naïve Bayes,5,smotecw,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925
143,D · Naïve Bayes,6,smotencw,naive_bayes,venn_abers,0.8493,0.0594,0.5395,0.107,0.7954,0.3492,0.0038,0.638925
144,D · Naïve Bayes,7,smote,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001
145,D · Naïve Bayes,8,smotenc,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001
146,D · Naïve Bayes,9,smotecw,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001
147,D · Naïve Bayes,10,smotencw,naive_bayes,isotonic,0.8493,0.0594,0.5406,0.107,0.7953,0.3493,0.0039,0.6388750000000001
148,B · XGBoost / AdaBoost,29,smote,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999
149,B · XGBoost / AdaBoost,30,smotenc,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999
150,B · XGBoost / AdaBoost,31,smotecw,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999
151,B · XGBoost / AdaBoost,32,smotencw,xgboost,venn_abers,0.8477,0.0176,0.4793,0.034,0.8374,0.3185,0.0036,0.6357999999999999
152,B · XGBoost / AdaBoost,33,smote,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125
153,B · XGBoost / AdaBoost,34,smotenc,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125
154,B · XGBoost / AdaBoost,35,smotecw,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125
155,B · XGBoost / AdaBoost,36,smotencw,xgboost,isotonic,0.8476,0.017,0.4699,0.0328,0.8374,0.3198,0.0043,0.635125
156,A · KNN / RF,39,base,knn,base,0.8466,0.0896,0.4769,0.1509,0.8232,0.3823,0.0142,0.6349250000000001
157,A · KNN / RF,40,cw,knn,base,0.8466,0.0896,0.4769,0.1509,0.8232,0.3823,0.0142,0.6349250000000001
158,B · XGBoost / AdaBoost,37,smote,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225
159,B · XGBoost / AdaBoost,38,smotenc,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225
160,B · XGBoost / AdaBoost,39,smotecw,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225
161,B · XGBoost / AdaBoost,40,smotencw,adaboost,venn_abers,0.8477,0.0017,0.3478,0.0035,0.8304,0.3217,0.0028,0.631225
162,B · XGBoost / AdaBoost,41,smote,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999
163,B · XGBoost / AdaBoost,42,smotenc,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999
164,B · XGBoost / AdaBoost,43,smotecw,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999
165,B · XGBoost / AdaBoost,44,smotencw,adaboost,isotonic,0.8477,0.0015,0.3182,0.003,0.8301,0.3216,0.0029,0.6311749999999999
166,B · XGBoost / AdaBoost,45,cw,adaboost,venn_abers,0.848,0.0,0.0,0.0,0.8226,0.3236,0.0006,0.63095
