strategy,model,threshold,cal_accuracy,cal_recall,cal_f1,test_accuracy,test_recall,test_f1,test_precision,test_auc,test_min_acc_rec_f1,meets_0_90_all,n_features,blend_members,blend_weights
S8_mutual_info_k37,XGB_bal,0.515,0.6923285811269518,0.7397395980752901,0.6975844121179767,0.6926680244399185,0.7378998018681008,0.6972918756268807,0.6609202687286094,0.7639343437685951,0.6926680244399185,False,37,,
S8_mutual_info_k37,LGBM_bal,0.49,0.6893414799728446,0.7643645626945939,0.7024320457796852,0.6890699253224711,0.7613925842060572,0.7014341590612777,0.6502296350012086,0.7615260373856516,0.6890699253224711,False,37,,
S8_mutual_info_k37,CAT_bal,0.52,0.6936863543788188,0.7346447778092273,0.6970592184772392,0.6938900203665987,0.7340786866685536,0.6970368877242491,0.6635537930152232,0.7653090389332431,0.6938900203665987,False,37,,
S9a_L1_C0.01,LR_bal,0.5,0.6901561439239647,0.7258703651287858,0.6920793415193631,0.6862186014935506,0.7169544296631758,0.6867290226379287,0.6589490114464099,0.7567410198031445,0.6862186014935506,False,15,,
S9a_L1_C0.01,RF_bal,0.485,0.6881873727087576,0.7639399943390885,0.7015400610825915,0.686897488119484,0.7596943107840363,0.6995048214751107,0.6481526201400628,0.7583361795466189,0.686897488119484,False,15,,
S9a_L1_C0.01,XGB_bal,0.525,0.691785471826205,0.7241720917067648,0.6927033978611074,0.6934147997284453,0.7224738182847439,0.6933315224772512,0.6664490861618799,0.7643367253252512,0.6933315224772512,False,15,,
S9a_L1_C0.01,LGBM_bal,0.49,0.6889341479972845,0.7643645626945939,0.7021580863234529,0.6908350305498981,0.7666289272572884,0.7040551078762672,0.6509252583513578,0.7626035420878127,0.6908350305498981,False,15,,
S9a_L1_C0.01,CAT_bal,0.525,0.6922606924643585,0.7247381828474384,0.6931979695431472,0.6938900203665987,0.7247381828474384,0.6943258084197681,0.666363044892648,0.765349220767863,0.6938900203665987,False,15,,
S9a_L1_C0.05,LR_bal,0.475,0.6909708078750849,0.7611095386357204,0.7026391429318004,0.686897488119484,0.7524766487404472,0.6974944247671521,0.65,0.7568679360482465,0.686897488119484,False,30,,
S9a_L1_C0.05,RF_bal,0.51,0.6855397148676171,0.7204924992923861,0.6873228027541515,0.6866259334691106,0.7226153410699122,0.6886970596169409,0.6578201494460191,0.7584163770226088,0.6866259334691106,False,30,,
S9a_L1_C0.05,XGB_bal,0.485,0.6923285811269518,0.7797905462779507,0.7085905349794238,0.6913781398506449,0.7804981602037928,0.70814072932717,0.6480611045828437,0.7646328909293645,0.6913781398506449,False,30,,
S9a_L1_C0.05,LGBM_bal,0.52,0.6915139171758317,0.72459666006227,0.6926406926406926,0.6898845892735913,0.7210585904330598,0.6904729638162352,0.6623764950598023,0.7627101642905217,0.6898845892735913,False,30,,
S9a_L1_C0.05,CAT_bal,0.51,0.6947725729803123,0.7513444664590999,0.7025274579859733,0.6937542430414121,0.7507783753184263,0.7016731697639045,0.6585971446306642,0.7654330006316821,0.6937542430414121,False,30,,
S9a_L1_C0.1,LR_bal,0.475,0.6911065852002716,0.7613925842060572,0.7028086218158066,0.6867617107942974,0.7521936031701104,0.6973235371293623,0.6499144044998777,0.7568540127470962,0.6867617107942974,False,32,,
